name,address,city,lat,long,company,connector,power_supply,charging_speed,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
אשטרום לייף,הירקון 5,בני ברק,32.095978,34.823578,EV-Edge,type 2,22.08,איטי,,
בר לב 6 - שדרות,ברלב 6,שדרות,31.529005,34.588261,EV-Edge,type 2,22.08,איטי,,
יאיר רוזנבלום 24,יאיר רוזנבלום 24,כפר סבא,32.189739,34.895554,EV-Edge,type 2,22.08,איטי,,
עתיר ידע,עתיר ידע 22,כפר סבא,32.16087,34.936306,EV-Edge,type 2,22.08,איטי,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
"נתניה שופרסל נדלן""",המלאכה 32,נתניה,32.2847081,34.8604447,EV-Edge,type 2,22.08,איטי,,
